940 v0 v99
v20 v17 464 9
v20 v19 394 2
v20 v20 207 8
v20 v23 153 9
v20 v24 487 9
v20 v29 675 2
v21 v12 960 10
v21 v15 44 8
v21 v16 960 7
v21 v18 603 9
v21 v19 137 4
v21 v21 879 1
v21 v22 897 8
v21 v23 193 0
v21 v27 7 6
v21 v30 370 1
v21 v31 667 9
v22 v12 875 8
v22 v13 374 9
v22 v14 696 6
v22 v16 802 8
v22 v18 568 7
v22 v19 314 9
v22 v20 722 6
v22 v25 716 2
v22 v26 520 6
v22 v31 398 10
v22 v32 93 2
v23 v13 614 6
v23 v14 269 3
v23 v15 623 0
v23 v18 671 8
v23 v19 986 9
v23 v20 792 2
v23 v22 206 10
v23 v25 802 9
v23 v30 670 0
v23 v32 282 6
v23 v33 404 6
v24 v17 92 8
v24 v18 849 8
v24 v20 986 4
v24 v21 986 3
v24 v22 413 9
v24 v23 179 6
v24 v27 119 8
v25 v18 471 9
v25 v21 391 10
v25 v23 718 3
v25 v25 361 8
v25 v28 294 1
v25 v29 766 5
v25 v30 953 2
v25 v32 915 9
v25 v33 969 10
v25 v35 754 3
v26 v16 247 4
v26 v17 207 3
v26 v19 797 1
v26 v20 80 10
v26 v23 877 8
v26 v26 322 7
v26 v30 187 8
v26 v31 227 9
v26 v32 538 6
v26 v36 702 2
v27 v17 123 8
v27 v18 705 0
v27 v19 215 6
v27 v21 627 4
v27 v22 269 3
v27 v23 981 9
v27 v24 188 7
v27 v25 429 5
v27 v26 410 4
v27 v27 585 2
v27 v35 819 2
v27 v36 9 2
v27 v37 137 10
v28 v21 575 9
v28 v22 101 2
v28 v23 833 4
v28 v26 342 4
v28 v27 573 8
v28 v29 20 6
v28 v30 888 10
v28 v32 589 10
v28 v34 799 4
v28 v35 689 8
v29 v19 293 7
v29 v21 171 10
v29 v23 646 9
v29 v26 165 5
v29 v27 324 10
v29 v28 273 9
v29 v30 455 5
v29 v33 171 2
v29 v35 240 10
v29 v36 761 1
v29 v37 406 1
v29 v38 959 7
v30 v20 406 8
v30 v22 268 9
v30 v23 670 6
v30 v24 253 4
v30 v25 129 2
v30 v27 35 10
v30 v28 937 5
v30 v30 891 8
v30 v33 971 8
v30 v34 611 7
v30 v40 355 7
v31 v23 374 6
v31 v24 310 0
v31 v25 834 2
v31 v26 480 8
v31 v27 944 7
v31 v30 440 4
v31 v34 903 8
v31 v35 255 2
v31 v39 81 6
v32 v25 664 8
v32 v27 873 1
v32 v28 296 1
v32 v31 637 7
v32 v32 19 2
v32 v33 547 0
v32 v34 104 4
v32 v35 732 7
v32 v37 154 0
v32 v39 319 7
v32 v41 810 0
v32 v42 863 2
v33 v23 794 6
v33 v24 481 2
v33 v25 861 4
v33 v28 786 3
v33 v29 998 7
v33 v30 34 3
v33 v31 789 1
v33 v34 697 4
v33 v36 745 0
v33 v39 492 10
v33 v40 369 0
v33 v42 115 3
v34 v24 171 4
v34 v26 248 0
v34 v31 789 1
v34 v32 511 1
v34 v34 992 10
v34 v35 364 10
v34 v36 549 1
v34 v37 238 5
v34 v42 197 0
v34 v44 137 4
v35 v27 301 8
v35 v29 191 8
v35 v30 749 7
v35 v31 851 9
v35 v34 158 7
v35 v35 269 8
v35 v36 0 10
v35 v41 635 3
v35 v42 64 10
v35 v45 699 7
v36 v27 289 5
v36 v28 329 1
v36 v29 674 1
v36 v30 960 2
v36 v31 32 3
v36 v32 196 1
v36 v33 657 6
v36 v37 375 3
v36 v39 952 3
v36 v43 654 0
v36 v44 761 6
v37 v27 631 4
v37 v31 221 8
v37 v32 742 3
v37 v34 538 10
v37 v35 640 2
v37 v43 106 2
v38 v35 648 6
v38 v37 246 9
v38 v39 563 4
v38 v40 463 7
v38 v42 35 4
v38 v46 307 3
v38 v47 322 0
v39 v35 471 5
v39 v36 271 5
v39 v38 262 4
v39 v39 409 9
v39 v44 845 9
v39 v46 657 4
v39 v47 827 9
v39 v48 798 0
v40 v30 900 6
v40 v31 888 1
v40 v33 668 9
v40 v37 536 0
v40 v38 578 2
v40 v39 714 3
v40 v40 689 6
v40 v44 442 4
v40 v46 344 1
v40 v47 763 0
v40 v49 408 8
v40 v50 714 2
v41 v33 404 10
v41 v38 272 6
v41 v39 946 9
v41 v40 687 6
v41 v41 356 3
v41 v42 608 10
v41 v43 312 2
v41 v47 149 7
v41 v48 837 3
v41 v49 382 2
v42 v32 55 3
v42 v37 710 1
v42 v38 482 0
v42 v39 757 8
v42 v40 559 8
v42 v47 927 10
v42 v49 61 4
v42 v50 713 9
v42 v51 476 10
v43 v33 676 4
v43 v36 110 0
v43 v37 904 10
v43 v38 389 8
v43 v40 323 7
v43 v43 512 7
v43 v46 944 8
v43 v47 501 6
v43 v49 700 5
v43 v50 309 3
v43 v53 63 10
v44 v34 396 0
v44 v37 349 6
v44 v39 391 8
v44 v43 246 9
v44 v44 993 4
v44 v46 555 2
v44 v47 141 9
v44 v51 722 8
v44 v53 930 2
v45 v36 69 8
v45 v39 859 2
v45 v43 421 4
v45 v44 956 10
v45 v46 797 3
v45 v47 189 0
v45 v50 580 9
v45 v51 237 3
v45 v53 704 7
v45 v54 866 9
v45 v55 665 5
v46 v36 396 7
v46 v37 167 3
v46 v38 418 0
v46 v41 687 3
v46 v43 949 7
v46 v46 468 3
v46 v47 794 0
v46 v51 961 9
v47 v37 846 0
v47 v39 550 6
v47 v41 396 8
v47 v44 450 6
v47 v47 170 6
v47 v48 941 0
v47 v51 661 7
v47 v52 512 1
v47 v53 599 8
v47 v54 423 5
v47 v55 183 7
v48 v38 465 1
v48 v39 708 10
v48 v43 116 7
v48 v45 724 6
v48 v49 563 6
v48 v50 174 5
v48 v53 889 2
v48 v54 729 0
v48 v55 316 7
v48 v56 185 1
v49 v39 783 4
v49 v40 509 7
v49 v42 903 7
v49 v43 602 10
v49 v44 419 7
v49 v45 614 0
v49 v46 560 4
v49 v50 151 0
v49 v52 874 0
v49 v55 942 1
v49 v56 426 2
v49 v57 291 9
v50 v44 36 1
v50 v46 919 6
v50 v50 482 2
v50 v51 880 4
v50 v52 423 8
v50 v53 214 9
v50 v54 585 10
v50 v56 741 9
v50 v59 623 5
v50 v60 588 9
v51 v41 132 9
v51 v46 624 3
v51 v49 24 7
v51 v51 868 3
v51 v54 341 5
v51 v57 206 4
v51 v58 69 4
v51 v59 563 5
v51 v61 341 5
v52 v42 582 9
v52 v45 853 5
v52 v48 36 10
v52 v49 159 10
v52 v50 885 8
v52 v52 833 6
v52 v54 533 4
v52 v58 591 10
v52 v59 938 5
v52 v60 152 4
v52 v62 384 10
v53 v44 620 6
v53 v45 119 4
v53 v47 32 4
v53 v48 508 3
v53 v49 849 4
v53 v50 309 2
v53 v51 803 0
v53 v54 25 7
v53 v56 348 7
v53 v60 892 1
v54 v44 741 0
v54 v45 730 8
v54 v46 318 0
v54 v49 478 0
v54 v50 784 10
v54 v52 776 4
v54 v54 205 3
v54 v55 545 5
v54 v58 161 4
v54 v59 981 9
v54 v61 555 5
v54 v63 965 4
v55 v45 318 9
v55 v48 29 7
v55 v50 392 0
v55 v51 401 2
v55 v56 364 4
v55 v57 202 10
v55 v59 944 7
v55 v61 821 7
v55 v62 317 10
v55 v65 970 3
v56 v46 917 9
v56 v47 372 6
v56 v48 939 10
v56 v49 881 5
v56 v50 30 1
v56 v51 359 7
v56 v52 174 4
v56 v55 105 6
v56 v58 665 1
v56 v61 423 3
v56 v65 348 3
v57 v49 806 5
v57 v51 678 10
v57 v52 953 9
v57 v54 610 7
v57 v55 99 7
v57 v56 978 6
v57 v57 111 10
v57 v60 506 10
v57 v62 836 2
v57 v66 150 10
v57 v67 544 4
v58 v48 591 7
v58 v49 697 5
v58 v50 813 10
v58 v51 965 6
v58 v60 922 8
v58 v62 573 5
v58 v63 288 0
v58 v64 719 9
v58 v65 325 6
v58 v66 445 8
v58 v67 177 7
v58 v68 568 6
v59 v50 427 2
v59 v51 893 10
v59 v52 11 1
v59 v54 906 7
v59 v57 140 10
v59 v64 434 8
v59 v66 231 2
v59 v67 7 9
v60 v51 948 8
v60 v53 38 9
v60 v55 594 7
v60 v57 747 8
v60 v61 80 8
v60 v63 483 10
v60 v66 648 8
v60 v68 54 5
v60 v70 464 8
v61 v53 361 4
v61 v54 36 9
v61 v58 484 9
v61 v59 52 10
v61 v63 84 2
v61 v66 135 9
v61 v67 878 4
v61 v68 114 9
v61 v69 605 2
v61 v71 179 4
v62 v53 185 8
v62 v55 86 2
v62 v60 392 3
v62 v63 591 5
v62 v64 270 1
v62 v65 475 6
v62 v70 699 6
v62 v71 148 8
v63 v53 949 7
v63 v54 323 8
v63 v56 939 8
v63 v59 940 10
v63 v61 273 1
v63 v62 598 6
v63 v63 691 3
v63 v66 345 10
v63 v68 560 0
v63 v71 100 8
v63 v72 456 5
v63 v73 290 4
v64 v54 24 9
v64 v55 961 9
v64 v61 876 9
v64 v62 672 10
v64 v67 478 10
v64 v71 437 10
v64 v73 165 1
v64 v74 63 6
v65 v55 61 4
v65 v57 451 1
v65 v61 503 1
v65 v62 787 6
v65 v63 658 1
v65 v66 74 1
v65 v68 456 0
v65 v70 655 0
v65 v73 716 5
v66 v59 864 1
v66 v61 977 7
v66 v62 548 5
v66 v63 310 6
v66 v64 981 10
v66 v65 547 5
v66 v66 470 4
v66 v68 40 6
v66 v70 399 1
v66 v72 86 10
v66 v73 194 2
v66 v74 25 9
v66 v75 398 1
v67 v62 347 0
v67 v63 738 0
v67 v64 216 10
v67 v66 694 8
v67 v67 593 3
v67 v69 144 7
v67 v71 940 9
v67 v72 718 10
v67 v73 176 10
v67 v74 314 1
v67 v75 174 9
v67 v76 837 1
v67 v77 609 9
v68 v58 823 3
v68 v59 830 10
v68 v60 123 10
v68 v62 856 3
v68 v65 123 4
v68 v66 425 2
v68 v69 947 9
v68 v70 102 10
v68 v73 498 1
v68 v74 183 1
v68 v77 710 7
v69 v59 655 4
v69 v61 960 2
v69 v63 184 7
v69 v65 846 4
v69 v66 4 8
v69 v67 120 8
v69 v73 641 10
v69 v74 54 3
v69 v75 152 10
v69 v79 944 0
v70 v60 372 4
v70 v61 257 5
v70 v64 106 0
v70 v66 804 0
v70 v68 916 3
v70 v71 203 10
v70 v73 112 5
v70 v74 242 6
v70 v76 225 1
v70 v77 496 0
v70 v79 950 9
v70 v80 396 5
v71 v61 737 3
v71 v64 130 0
v71 v66 139 1
v71 v68 175 5
v71 v69 302 9
v71 v70 813 10
v71 v75 421 8
v71 v80 747 6
v72 v62 335 6
v72 v66 587 0
v72 v67 45 0
v72 v71 403 7
v72 v74 507 3
v72 v75 771 0
v72 v77 223 2
v72 v78 244 10
v72 v80 685 4
v72 v81 470 9
v73 v63 465 7
v73 v66 808 5
v73 v69 642 1
v73 v70 707 5
v73 v72 770 4
v73 v76 701 1
v73 v78 954 0
v73 v81 52 1
v73 v82 476 9
v73 v83 375 2
v74 v68 342 3
v74 v77 919 4
v74 v79 55 1
v74 v80 463 7
v74 v83 544 10
v75 v66 376 10
v75 v70 913 7
v75 v71 400 2
v75 v72 979 1
v75 v73 282 1
v75 v79 992 10
v75 v81 355 6
v75 v82 660 0
v75 v83 64 0
v75 v85 970 8
v76 v67 351 10
v76 v69 607 10
v76 v72 311 9
v76 v73 808 4
v76 v74 266 3
v76 v78 361 4
v76 v79 170 9
v76 v82 996 2
v76 v86 243 1
v77 v67 324 9
v77 v68 266 5
v77 v69 575 0
v77 v72 459 8
v77 v75 25 6
v77 v80 993 8
v77 v82 722 4
v77 v83 296 9
v78 v68 115 7
v78 v70 564 1
v78 v71 411 9
v78 v73 94 5
v78 v74 656 3
v78 v76 958 4
v78 v77 85 8
v78 v82 502 5
v78 v85 682 5
v78 v86 733 6
v78 v87 381 0
v78 v88 359 4
v79 v71 745 7
v79 v73 453 4
v79 v74 745 6
v79 v76 855 9
v79 v78 310 7
v79 v81 955 9
v79 v83 419 10
v79 v85 569 7
v79 v88 190 6
v79 v89 502 0
v80 v71 599 4
v80 v74 810 0
v80 v75 307 10
v80 v77 669 10
v80 v79 503 10
v80 v80 122 4
v80 v84 492 9
v80 v85 264 10
v80 v89 750 9
v80 v90 265 2
v81 v72 472 2
v81 v73 54 4
v81 v74 651 5
v81 v75 298 8
v81 v77 198 10
v81 v78 96 9
v81 v84 701 5
v81 v85 593 5
v81 v87 530 4
v81 v88 496 6
v81 v89 932 2
v81 v90 158 8
v81 v91 192 8
v82 v78 471 1
v82 v79 134 0
v82 v81 371 2
v82 v86 726 4
v82 v87 834 1
v82 v88 877 2
v82 v90 214 2
v82 v92 781 1
v83 v73 793 7
v83 v75 110 0
v83 v78 121 4
v83 v79 308 10
v83 v80 98 1
v83 v82 922 3
v83 v83 359 0
v83 v84 866 4
v83 v86 164 8
v83 v90 839 9
v84 v75 772 8
v84 v76 742 1
v84 v80 714 9
v84 v81 689 1
v84 v82 363 6
v84 v83 526 3
v84 v84 779 5
v84 v85 112 8
v84 v86 780 5
v84 v89 335 7
v84 v90 290 7
v84 v92 999 7
v84 v93 417 4
v85 v75 877 1
v85 v79 13 10
v85 v81 448 8
v85 v83 146 6
v85 v84 604 1
v85 v87 372 3
v85 v88 609 6
v85 v89 858 6
v85 v91 730 9
v86 v76 682 9
v86 v80 465 1
v86 v81 501 7
v86 v82 965 2
v86 v83 755 0
v86 v86 183 6
v86 v88 310 9
v86 v94 300 10
v87 v80 782 0
v87 v83 460 5
v87 v85 36 0
v87 v86 675 4
v87 v88 441 2
v87 v89 398 7
v87 v95 575 2
v87 v97 506 9
v88 v80 291 5
v88 v81 604 0
v88 v82 375 5
v88 v87 438 5
v88 v89 57 10
v88 v90 240 10
v88 v91 86 1
v88 v93 173 0
v88 v95 673 6
v88 v98 712 7
v89 v81 399 5
v89 v84 691 3
v89 v85 514 10
v89 v86 629 4
v89 v87 446 3
v89 v93 48 4
v89 v95 231 9
v89 v97 864 9
v89 v98 344 4
v89 v99 820 8
v90 v80 214 5
v90 v83 823 4
v90 v84 552 5
v90 v85 411 4
v90 v87 781 8
v90 v88 19 10
v90 v92 985 7
v90 v93 653 8
v90 v99 205 5
v91 v81 246 2
v91 v85 880 1
v91 v88 293 10
v91 v89 703 9
v91 v90 244 1
v91 v91 28 3
v91 v93 497 8
v91 v95 927 0
v91 v96 279 2
v91 v97 808 4
v91 v99 872 0
v92 v84 880 1
v92 v85 305 1
v92 v87 372 10
v92 v89 965 2
v92 v90 584 8
v92 v96 905 1
v92 v97 125 5
v92 v98 598 6
v93 v85 109 2
v93 v86 281 7
v93 v87 883 9
v93 v88 546 5
v93 v90 558 6
v93 v91 252 4
v93 v94 732 5
v93 v96 990 9
v93 v97 757 10
v93 v99 939 10
v94 v84 565 6
v94 v85 981 5
v94 v89 453 6
v94 v90 983 6
v94 v93 958 3
v94 v94 880 2
v94 v99 34 4
v95 v88 422 5
v95 v95 616 8
v95 v97 28 0
v95 v99 454 10
v96 v86 410 3
v96 v88 84 1
v96 v89 528 10
v96 v94 489 2
v96 v95 703 9
v96 v98 424 5
v96 v99 897 6
v97 v89 970 0
v97 v95 718 2
v97 v96 632 6
v97 v98 981 5
v97 v99 580 1
v98 v88 538 6
v98 v93 208 3
v98 v96 764 7
v98 v97 441 3
v99 v89 693 3
v99 v90 418 2
v99 v91 999 4
v99 v92 461 3
v99 v93 700 10
v99 v94 10 7
v99 v95 331 6
